,knode_name,stochastic,observed,subj,node,tag,depends,hidden,subj_idx,response,rt,gain,loss,mean,std,2.5q,25q,50q,75q,97.5q,mc err,map
z_subj.40,z_subj,False,False,True,z_subj.40,(),['subj_idx'],False,40,,,,,0.5757810199683652,0.023972449623509237,0.5278504406276797,0.5595301474318571,0.5760579838565584,0.5918117311227257,0.6242576968015603,0.0005974392403092128,0.4829831491275407
z_subj.41,z_subj,False,False,True,z_subj.41,(),['subj_idx'],False,41,,,,,0.2781227788787163,0.023159862441068414,0.23529739717653428,0.2618723738449088,0.27735548556398076,0.2929615366195256,0.3257029906613012,0.0008500054636049262,0.31004040676454697
z_subj.42,z_subj,False,False,True,z_subj.42,(),['subj_idx'],False,42,,,,,0.39040118860375195,0.02684046772325908,0.34209109753219297,0.37106513597283197,0.38877375517833535,0.40819003839942813,0.44673449342132987,0.0008624212288036151,0.3631283967725788
z_subj.43,z_subj,False,False,True,z_subj.43,(),['subj_idx'],False,43,,,,,0.5820506255154091,0.02617655402000075,0.5313501972809173,0.5644452414509482,0.5823764829389173,0.5998043238990297,0.6317541389931806,0.0006655253358280963,0.47195661317460247
z_subj.44,z_subj,False,False,True,z_subj.44,(),['subj_idx'],False,44,,,,,0.42890780516611954,0.023168596133476688,0.3846239880573653,0.41341946426798437,0.4282483396480575,0.4441780291256373,0.4755358189527136,0.0005887512547479633,0.37239816049516056
z_subj.45,z_subj,False,False,True,z_subj.45,(),['subj_idx'],False,45,,,,,0.5336387975584443,0.028627591068086444,0.47768493354132646,0.5135834425345522,0.533545242172011,0.5534951460912585,0.5893041513706426,0.0006144794044707013,0.4536467891220649
z_subj.46,z_subj,False,False,True,z_subj.46,(),['subj_idx'],False,46,,,,,0.31264987174984615,0.03072237150147932,0.2534861685870226,0.2920815236330601,0.312505469576909,0.33240366654978887,0.3745532292285844,0.0012526484336085543,0.35809701828326307
z_subj.47,z_subj,False,False,True,z_subj.47,(),['subj_idx'],False,47,,,,,0.2812731171421839,0.022165474408739422,0.2408992281023766,0.26574374683112095,0.2800524084077576,0.2959610561856036,0.3269534624298186,0.0007258948606754148,0.31985851736182114
z_subj.48,z_subj,False,False,True,z_subj.48,(),['subj_idx'],False,48,,,,,0.2590097755948036,0.023052855797885397,0.21658483173963367,0.24328516368168468,0.2578912011122732,0.27315955641563117,0.3090794755383025,0.0009454660659309119,0.29719697382880805
z_subj.49,z_subj,False,False,True,z_subj.49,(),['subj_idx'],False,49,,,,,0.3841918841123503,0.02336047698599275,0.33806112482062617,0.36856620806076645,0.38313282838874885,0.4004858873851232,0.4299659502871801,0.0006474344294702252,0.36106039072494556
v_Intercept,v_Intercept,True,False,False,v_Intercept,(),[],False,,,,,,-0.39915533083522803,0.05796636855473006,-0.5128150327106684,-0.43847450021903134,-0.3988141026581772,-0.36009031739712716,-0.2855125397244346,0.0011793040212093387,0.7316365021437506
v_Intercept_std,v_Intercept_std,True,False,False,v_Intercept_std,(),[],False,,,,,,0.38447779642155716,0.045628318777298706,0.3062138313920997,0.3523054121575664,0.3807307655955022,0.4131146800343552,0.4843021694473776,0.0010554847445790939,0.3084643524821327
v_Intercept_tau,v_Intercept_tau,False,False,False,v_Intercept_tau,(),[],True,,,,,,,,,,,,,,10.50969313308399
v_Intercept_subj.1,v_Intercept_subj,True,False,True,v_Intercept_subj.1,(),['subj_idx'],False,1,,,,,-0.036785013719203646,0.07434964946400248,-0.18328142790434276,-0.0855913351962701,-0.03782607139445127,0.013217279374882263,0.11187978263307902,0.001547487525416134,0.6136738599582743
v_Intercept_subj.2,v_Intercept_subj,True,False,True,v_Intercept_subj.2,(),['subj_idx'],False,2,,,,,-0.5273344036546537,0.11044359493887469,-0.7515332677949136,-0.6013312437666939,-0.5247123099312954,-0.453389712619853,-0.3139703327407377,0.0027923610763763876,0.729904443349539
v_Intercept_subj.3,v_Intercept_subj,True,False,True,v_Intercept_subj.3,(),['subj_idx'],False,3,,,,,-0.33463116893970424,0.07482319593170676,-0.48031721046817144,-0.38521876721537873,-0.3354372118337324,-0.28510437659174626,-0.18472242705472391,0.001810336817278982,0.3256178866180013
