,knode_name,stochastic,observed,subj,node,tag,depends,hidden,subj_idx,gain,loss,rt,response,mean,std,2.5q,25q,50q,75q,97.5q,mc err,map
a_subj.88,a_subj,True,False,True,a_subj.88,(),['subj_idx'],False,88,,,,,2.6305544161609973,0.09279179625495357,2.4522451138480936,2.5673117661771148,2.6293945268136807,2.691809790992972,2.8174490929162195,0.002735160110023797,2.259473424702351
a_subj.90,a_subj,True,False,True,a_subj.90,(),['subj_idx'],False,90,,,,,2.2611003179903593,0.08575706534524703,2.105494554260696,2.203081448500171,2.258439492595963,2.316279097132627,2.4446534851917576,0.0026434445970443064,2.000789801244193
a_subj.92,a_subj,True,False,True,a_subj.92,(),['subj_idx'],False,92,,,,,2.6210122672886547,0.10050683227657586,2.434380862520119,2.5492840603814755,2.61859921219116,2.6889781085730555,2.8218992831226757,0.002917299451148225,2.1905671724391413
a_subj.94,a_subj,True,False,True,a_subj.94,(),['subj_idx'],False,94,,,,,2.613629395342878,0.10577991858568293,2.415386901485318,2.5419175374683602,2.612160387593952,2.6827941244517017,2.831885905509848,0.003089573123214642,2.1485250622854424
a_subj.96,a_subj,True,False,True,a_subj.96,(),['subj_idx'],False,96,,,,,2.853897458872509,0.10348312988636073,2.66133992264435,2.783647797123041,2.8511125602672487,2.9217599767804683,3.0532456975588134,0.00321887070003938,2.3769058552323563
a_subj.98,a_subj,True,False,True,a_subj.98,(),['subj_idx'],False,98,,,,,1.9251957574835163,0.08024797640665125,1.775806683181381,1.8699525714310108,1.9226714241070115,1.9782488332966244,2.08970631983585,0.002597326502055206,1.737033972734939
a_subj.100,a_subj,True,False,True,a_subj.100,(),['subj_idx'],False,100,,,,,2.7734936659870826,0.11037049289669487,2.5586700317232114,2.7000299048176486,2.771828990829421,2.844886479534273,2.9944108483491805,0.003330655885046146,2.300326830704969
a_subj.102,a_subj,True,False,True,a_subj.102,(),['subj_idx'],False,102,,,,,2.0773313663235218,0.0764164785846563,1.9312967087216688,2.0245265412057187,2.0770209097342307,2.1283012634404694,2.2306090496281525,0.002457929181776065,1.8665973199438322
a_subj.104,a_subj,True,False,True,a_subj.104,(),['subj_idx'],False,104,,,,,2.541742769621875,0.1095847159430597,2.3421923107532505,2.465700072193425,2.5373262275792854,2.613652064418685,2.768295350389427,0.004237176484841829,2.1497422259537933
a_subj.106,a_subj,True,False,True,a_subj.106,(),['subj_idx'],False,106,,,,,2.3210927639427057,0.09517252478354409,2.1444536735318267,2.2547439427831297,2.320074767872195,2.384693841957449,2.513098481953726,0.0038761946476630997,1.9773846687215735
a_subj.108,a_subj,True,False,True,a_subj.108,(),['subj_idx'],False,108,,,,,2.77702253856058,0.11116172422615267,2.5719385506695644,2.699056722586057,2.7725335989422852,2.848311881253697,3.007227266832526,0.0035602471458832927,2.2627909417692944
a_subj.110,a_subj,True,False,True,a_subj.110,(),['subj_idx'],False,110,,,,,2.77971825897729,0.10898919670228303,2.575439022851291,2.706301038525079,2.7771163694085765,2.8512363495581403,3.0000636023048646,0.003600206231358071,2.311438597392931
a_subj.112,a_subj,True,False,True,a_subj.112,(),['subj_idx'],False,112,,,,,2.1768464212013034,0.08752535206796576,2.009168343586739,2.11648385767482,2.174583988333864,2.235871066347897,2.358997245829247,0.003039989963482953,1.8945551857140073
a_subj.114,a_subj,True,False,True,a_subj.114,(),['subj_idx'],False,114,,,,,1.857565427388164,0.0773666748796564,1.7122411565890234,1.8042441727359297,1.854139247275788,1.906934560868611,2.0172960246753866,0.0031473189670831515,1.65785402994029
a_subj.116,a_subj,True,False,True,a_subj.116,(),['subj_idx'],False,116,,,,,2.060488125557036,0.0719432227722411,1.9234849418240079,2.011615753866933,2.0591072458544764,2.1097119805935343,2.199038369831147,0.0019847622020327227,1.8736958473302032
a_subj.118,a_subj,True,False,True,a_subj.118,(),['subj_idx'],False,118,,,,,2.6220454711971897,0.09564839840928596,2.4323899951605497,2.5591053727130193,2.621454642873355,2.6871468541773402,2.812533661422269,0.0029900424867656326,2.240858244485133
